epoch,accuracy,dice_coef,iou,loss,lr,mse,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_mse,val_precision,val_recall
0,0.9876306653022766,0.3957009017467499,0.3552374541759491,0.6043010950088501,1e-04,0.012774970382452011,0.710530698299408,0.798669695854187,0.9891656041145325,0.27557173371315,0.2438848912715912,0.7242570519447327,0.011331777088344097,0.7402719259262085,0.8068997263908386
1,0.9840540885925293,0.42865997552871704,0.39608728885650635,0.5713392496109009,1e-04,0.016287745907902718,0.6179367899894714,0.8342528343200684,0.9905108213424683,0.2821536362171173,0.2521856725215912,0.717670738697052,0.010007260367274284,0.7902563810348511,0.798963725566864
2,0.9820660352706909,0.4450865387916565,0.4149315059185028,0.5549124479293823,1e-04,0.018192507326602936,0.577868640422821,0.8565139174461365,0.9910619854927063,0.28484323620796204,0.256053626537323,0.714979350566864,0.009466400370001793,0.811617374420166,0.7979633212089539
3,0.9813249111175537,0.45461317896842957,0.4269634485244751,0.5453855991363525,1e-04,0.018918190151453018,0.5643033981323242,0.8699793815612793,0.9912247657775879,0.28496211767196655,0.25743094086647034,0.7148607969284058,0.009300680831074715,0.8125417828559875,0.8066033124923706
4,0.9811737537384033,0.46084064245224,0.4347441792488098,0.5391589403152466,1e-04,0.019050050526857376,0.5614030957221985,0.8785943984985352,0.9913175106048584,0.2873046398162842,0.2596409320831299,0.7125166058540344,0.00922725722193718,0.8165463805198669,0.8056373000144958
5,0.9812424182891846,0.46596384048461914,0.4411589801311493,0.5340369939804077,1e-04,0.018956566229462624,0.5621114373207092,0.8860194087028503,0.9912363290786743,0.2873589098453522,0.2604164779186249,0.7124624252319336,0.009242434985935688,0.8094068765640259,0.8134536147117615
6,0.9822221398353577,0.46926745772361755,0.44544389843940735,0.530733048915863,1e-04,0.017973484471440315,0.577805757522583,0.8904971480369568,0.9916102886199951,0.28670045733451843,0.2598152756690979,0.7131216526031494,0.008922288194298744,0.8358743190765381,0.7946759462356567
7,0.9826529026031494,0.47249990701675415,0.44929054379463196,0.5275005102157593,1e-04,0.01753632351756096,0.5845856070518494,0.8957232236862183,0.9915630221366882,0.2891242802143097,0.2629365921020508,0.7106960415840149,0.008929354138672352,0.8220227956771851,0.8131235241889954
8,0.9820840358734131,0.4752712845802307,0.4526176154613495,0.524728000164032,1e-04,0.018098199740052223,0.5747588872909546,0.8993183970451355,0.9914954304695129,0.28935950994491577,0.26300349831581116,0.7104603052139282,0.008994636125862598,0.8155531883239746,0.8191508650779724
9,0.9825177788734436,0.47785088419914246,0.45574215054512024,0.5221493244171143,1e-04,0.017654605209827423,0.581601083278656,0.9035574793815613,0.9913792014122009,0.28899675607681274,0.2629951536655426,0.7108249664306641,0.009082034230232239,0.8107235431671143,0.8205060958862305
10,0.9834551811218262,0.4797120690345764,0.45805948972702026,0.5202887058258057,1e-04,0.01671123132109642,0.597434937953949,0.9063524603843689,0.9920001029968262,0.2929554879665375,0.267698734998703,0.7068631052970886,0.008384334854781628,0.8259081244468689,0.8353393077850342
11,0.9836317300796509,0.4816215932369232,0.4602069854736328,0.5183789730072021,1e-04,0.016535714268684387,0.6000362634658813,0.9098101258277893,0.9920657873153687,0.336699515581131,0.3098006248474121,0.6631020903587341,0.00849368516355753,0.8443504571914673,0.8087047934532166
12,0.9847794771194458,0.48336347937583923,0.4623057544231415,0.5166363716125488,1e-04,0.015381074510514736,0.6206859350204468,0.9124988913536072,0.9917711615562439,0.2989828288555145,0.2719823718070984,0.7008305191993713,0.008540506474673748,0.8055726885795593,0.8563207983970642
13,0.9853968024253845,0.48497340083122253,0.4641936123371124,0.5150270462036133,1e-04,0.01476016640663147,0.6320390701293945,0.9154458045959473,0.992221474647522,0.3131355941295624,0.28797441720962524,0.6866698861122131,0.008114331401884556,0.8304159641265869,0.8424971103668213
14,0.9846464991569519,0.4860166311264038,0.4655700922012329,0.5139827132225037,1e-04,0.015499906614422798,0.6174644231796265,0.9177945256233215,0.9922749996185303,0.37896227836608887,0.35284489393234253,0.6208025813102722,0.00801927037537098,0.8196909427642822,0.8635316491127014
15,0.9854567646980286,0.4876345992088318,0.4675181806087494,0.5123655200004578,1e-04,0.014686297625303268,0.6321589350700378,0.9213679432868958,0.9922153949737549,0.3703646659851074,0.34400901198387146,0.6294063925743103,0.008242389187216759,0.8492332100868225,0.8125323057174683
16,0.9859178066253662,0.4887706935405731,0.46900230646133423,0.5112293362617493,1e-04,0.014214027673006058,0.6407560706138611,0.9246360063552856,0.9921659827232361,0.4400175213813782,0.41479697823524475,0.5598829388618469,0.008256513625383377,0.8374274969100952,0.8270649909973145
17,0.9867348074913025,0.4897426664829254,0.4701423943042755,0.5102571249008179,1e-04,0.013404508121311665,0.6567500829696655,0.9268587827682495,0.9919185042381287,0.8203526735305786,0.7944107055664062,0.17975877225399017,0.008631786331534386,0.8342704176902771,0.8147726655006409
18,0.9875208139419556,0.644363284111023,0.6209561824798584,0.35563942790031433,1e-04,0.013660778291523457,0.8239994645118713,0.5884309411048889,0.9786690473556519,0.6385093331336975,0.6385093331336975,0.3617153465747833,0.023918522521853447,0.0,0.0
19,0.9775913953781128,0.47042712569236755,0.47042712569236755,0.5295728445053101,1e-04,0.02494719810783863,0.0,0.0,0.9786690473556519,0.6385093331336975,0.6385093331336975,0.3617153465747833,0.023918522521853447,0.0,0.0
